iter	Quantile:alpha=0.4
0	2.829239219
1	2.613560491
2	2.413536306
3	2.230763472
4	2.059195407
5	1.919849635
6	1.774141065
7	1.64930227
8	1.538810775
9	1.440103351
10	1.35091781
11	1.273965271
12	1.206962942
13	1.142120895
14	1.082927561
15	1.033010545
16	0.9823563423
17	0.940291507
18	0.903437645
19	0.8683446207
20	0.8390076968
21	0.8105503421
22	0.7813384337
23	0.7554732377
24	0.7343489422
25	0.7157488606
26	0.6981266661
27	0.6808487044
28	0.6647605741
29	0.6504138607
30	0.6390029768
31	0.6305838341
32	0.6186705132
33	0.6090210706
34	0.6009532279
35	0.59444326
36	0.5884491113
37	0.5827096693
38	0.5770755389
39	0.5718059269
40	0.5672978189
41	0.5633261259
42	0.5601429309
43	0.5567900072
44	0.5537224985
45	0.5504264645
46	0.5485197314
47	0.5458864805
48	0.5426091186
49	0.5397405578
50	0.5372125462
51	0.5347196599
52	0.5328107324
53	0.5310893611
54	0.5288425305
55	0.5267992581
56	0.5252887401
57	0.5239013256
58	0.5231316496
59	0.5217689708
60	0.520990074
61	0.5196175531
62	0.5188721123
63	0.5179488403
64	0.5169478538
65	0.5156162076
66	0.514758618
67	0.5135186371
68	0.5123637264
69	0.5117182561
70	0.5108047736
71	0.5098888321
72	0.5092958476
73	0.5087737987
74	0.5083513299
75	0.5074939576
76	0.5066535657
77	0.5058391134
78	0.5051550582
79	0.5047537981
80	0.5040251879
81	0.5032227035
82	0.5028448
83	0.502143475
84	0.5013957799
85	0.501096064
86	0.5005876156
87	0.5004332484
88	0.4997948325
89	0.4994151934
90	0.4991146493
91	0.4988987718
92	0.4985234882
93	0.4981702522
94	0.4975411901
95	0.4969185625
96	0.496206251
97	0.4959150501
98	0.4952365372
99	0.4949064972
100	0.4947260729
101	0.4944294592
102	0.4941862369
103	0.4938483717
104	0.4933480205
105	0.4932481109
106	0.492827293
107	0.4926241911
108	0.4922063818
109	0.4917934145
110	0.491277475
111	0.4910112922
112	0.4909261264
113	0.4905626709
114	0.4902005566
115	0.489751708
116	0.4894885121
117	0.4893340522
118	0.488915523
119	0.4886263299
120	0.4884518272
121	0.4881684308
122	0.4878140126
123	0.487611573
124	0.4873850663
125	0.4870853456
126	0.4866473092
127	0.4862400808
128	0.4861780001
129	0.4858108162
130	0.4855500039
131	0.4852821745
132	0.4850076048
133	0.4846336148
134	0.4843076463
135	0.484032554
136	0.483871486
137	0.483517455
138	0.4833164227
139	0.4831455248
140	0.4829064282
141	0.4827306008
142	0.482422657
143	0.4822274447
144	0.4819698584
145	0.4818534916
146	0.4816233837
147	0.4814351606
148	0.4811843421
149	0.4810606805
150	0.4809191051
151	0.4806990468
152	0.4805244929
153	0.4803337219
154	0.4800927855
155	0.4798271729
156	0.4795449888
157	0.4793892134
158	0.4791328763
159	0.4789537487
160	0.4787007201
161	0.4785673179
162	0.4784932319
163	0.478326458
164	0.4781058895
165	0.4779332913
166	0.4778167007
167	0.4776553657
168	0.4775331677
169	0.4773779922
170	0.4772931833
171	0.4772246316
172	0.4770863724
173	0.4769784244
174	0.4768332112
175	0.476659725
176	0.476596426
177	0.4764277795
178	0.4763853737
179	0.4762541649
180	0.4761095161
181	0.4760161011
182	0.4759313558
183	0.4757248257
184	0.475621534
185	0.4755850167
186	0.4755033704
187	0.4754091271
188	0.4753398739
189	0.4752357834
190	0.4751153701
191	0.4749684883
192	0.4748513583
193	0.4748252638
194	0.4747640022
195	0.4746540193
196	0.4745718932
197	0.4744876732
198	0.4743984445
199	0.4742892175
200	0.4741800903
201	0.4740131231
202	0.4739783456
203	0.4739488037
204	0.4738261403
205	0.4737364705
206	0.4736537357
207	0.4734894299
208	0.4733920446
209	0.47332459
210	0.4732319991
211	0.473135355
212	0.4730322119
213	0.4729432325
214	0.4728608415
215	0.4727639302
216	0.472699388
217	0.4726715731
218	0.472555193
219	0.4724434291
220	0.4723878353
221	0.4723522429
222	0.472241878
223	0.4721803598
224	0.4720716514
225	0.4720385668
226	0.4720138481
227	0.4719916153
228	0.4718526724
229	0.4717973622
230	0.4716914122
231	0.4716317199
232	0.4715613204
233	0.4715222043
234	0.4714553726
235	0.4713248671
236	0.4712563885
237	0.471227659
238	0.4711915111
239	0.4711479072
240	0.4711181716
241	0.471092266
242	0.4709971443
243	0.4709116623
244	0.4708175942
245	0.4707522931
246	0.4706691664
247	0.4706485977
248	0.4706039923
249	0.4704883056
250	0.470446523
251	0.4704210274
252	0.4703906712
253	0.4703786288
254	0.4703412539
255	0.4703192844
256	0.4703118564
257	0.4702708124
258	0.4701709557
259	0.4700590077
260	0.4700224645
261	0.4700001511
262	0.4699436407
263	0.4699287567
264	0.4699115851
265	0.4698395617
266	0.4698253713
267	0.4697321107
268	0.469641451
269	0.4696193349
270	0.4695676046
271	0.4695396055
272	0.4694612729
273	0.4694459008
274	0.4693986704
275	0.4693585623
276	0.4693202282
277	0.4692880284
278	0.4692786836
279	0.4692349326
280	0.4692135558
281	0.4691226153
282	0.4691132494
283	0.4690946472
284	0.4690615119
285	0.4690515593
286	0.4690344077
287	0.4689998832
288	0.4689259736
289	0.4688647351
290	0.4688512512
291	0.4688419202
292	0.4688270117
293	0.4687372833
294	0.4687156739
295	0.4686962495
296	0.4686741879
297	0.4686311609
298	0.4685691966
299	0.4685512696
