iter	Passed	Remaining
0	148	44397
1	253	37727
2	364	36130
3	464	34337
4	559	33020
5	648	31753
6	816	34194
7	907	33106
8	995	32199
9	1071	31073
10	1177	30936
11	1289	30952
12	1395	30815
13	1492	30482
14	1583	30085
15	1693	30061
16	1775	29563
17	1870	29304
18	1962	29018
19	2041	28582
20	2138	28409
21	2233	28222
22	2327	28034
23	2391	27507
24	2461	27075
25	2553	26905
26	2616	26454
27	2698	26217
28	2775	25932
29	2859	25737
30	2942	25536
31	3037	25437
32	3106	25133
33	3173	24830
34	3240	24531
35	3312	24291
36	3398	24158
37	3489	24056
38	3574	23924
39	3645	23698
40	3735	23600
41	3826	23503
42	3929	23484
43	4025	23421
44	4100	23236
45	4174	23050
46	4269	22985
47	4350	22839
48	4441	22751
49	4538	22694
50	4613	22522
51	4687	22355
52	4780	22276
53	4870	22185
54	4956	22079
55	5033	21931
56	5125	21852
57	5222	21791
58	5314	21710
59	5389	21557
60	5479	21470
61	5603	21510
62	5701	21448
63	5798	21380
64	5880	21260
65	5956	21117
66	6036	20992
67	6113	20857
68	6206	20776
69	6304	20715
70	6407	20665
71	6499	20582
72	6594	20505
73	6689	20429
74	6779	20337
75	6876	20267
76	6972	20193
77	7059	20091
78	7144	19986
79	7216	19846
80	7315	19779
81	7410	19702
82	7504	19620
83	7605	19558
84	7694	19463
85	7794	19396
86	7875	19280
87	7962	19182
88	8056	19101
89	8126	18962
90	8195	18822
91	8286	18733
92	8374	18640
93	8445	18507
94	8552	18456
95	8632	18344
96	8725	18259
97	8798	18135
98	8875	18020
99	8966	17933
100	9067	17866
101	9172	17805
102	9248	17688
103	9345	17611
104	9429	17511
105	9527	17437
106	9618	17349
107	9716	17273
108	9790	17156
109	9882	17069
110	9974	16983
111	10073	16909
112	10151	16798
113	10240	16708
114	10317	16597
115	10391	16483
116	10481	16394
117	10584	16325
118	10672	16232
119	10762	16143
120	10854	16057
121	10925	15941
122	11031	15875
123	11128	15794
124	11197	15676
125	11290	15591
126	11376	15497
127	11449	15385
128	11548	15308
129	11646	15229
130	11745	15153
131	11839	15069
132	11932	14982
133	12024	14896
134	12101	14791
135	12181	14689
136	12269	14598
137	12359	14508
138	12453	14424
139	12526	14316
140	12626	14238
141	12718	14151
142	12800	14053
143	12901	13976
144	12970	13865
145	13065	13781
146	13136	13672
147	13230	13588
148	13321	13500
149	13414	13414
150	13525	13346
151	13680	13320
152	13768	13228
153	13870	13149
154	13978	13076
155	14084	13000
156	14159	12896
157	14239	12797
158	14318	12697
159	14409	12608
160	14503	12521
161	14597	12434
162	14685	12343
163	14786	12262
164	14860	12158
165	14942	12062
166	15035	11974
167	15128	11886
168	15203	11784
169	15300	11700
170	15385	11606
171	15479	11519
172	15582	11439
173	15672	11348
174	15742	11244
175	15841	11160
176	15939	11076
177	16008	10972
178	16101	10884
179	16191	10794
180	16292	10711
181	16394	10629
182	16467	10528
183	16559	10439
184	16642	10345
185	16733	10255
186	16820	10163
187	16897	10066
188	16993	9980
189	17071	9883
190	17163	9794
191	17256	9706
192	17361	9625
193	17455	9537
194	17544	9446
195	17638	9359
196	17734	9272
197	17811	9175
198	17906	9088
199	17975	8987
200	18077	8904
201	18170	8815
202	18269	8729
203	18365	8642
204	18456	8552
205	18551	8465
206	18652	8380
207	18727	8283
208	18821	8195
209	18915	8106
210	19013	8019
211	19085	7922
212	19180	7834
213	19276	7746
214	19372	7658
215	19445	7562
216	19544	7475
217	19635	7385
218	19728	7296
219	19826	7209
220	19916	7119
221	20020	7034
222	20127	6949
223	20221	6860
224	20290	6763
225	20388	6675
226	20484	6587
227	20596	6504
228	20693	6415
229	20778	6323
230	20874	6235
231	20963	6144
232	21042	6050
233	21131	5960
234	21199	5863
235	21275	5769
236	21355	5676
237	21448	5587
238	21544	5498
239	21641	5410
240	21711	5315
241	21808	5226
242	21881	5132
243	21960	5040
244	22042	4948
245	22118	4855
246	22211	4765
247	22301	4676
248	22402	4588
249	22494	4498
250	22573	4406
251	22651	4314
252	22749	4226
253	22834	4135
254	22914	4043
255	23010	3954
256	23084	3862
257	23159	3770
258	23246	3679
259	23337	3590
260	23412	3498
261	23516	3410
262	23619	3322
263	23700	3231
264	23796	3142
265	23872	3051
266	23943	2959
267	24098	2877
268	24195	2788
269	24302	2700
270	24441	2615
271	24567	2528
272	24695	2442
273	24781	2351
274	24881	2261
275	24959	2170
276	25051	2080
277	25148	1990
278	25249	1900
279	25342	1810
280	25448	1720
281	25579	1632
282	25648	1540
283	25741	1450
284	25835	1359
285	25931	1269
286	26027	1178
287	26118	1088
288	26219	997
289	26320	907
290	26434	817
291	26512	726
292	26590	635
293	26686	544
294	26782	453
295	26861	362
296	26966	272
297	27062	181
298	27158	90
299	27250	0
